epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.14085,1.05997,1.86453,1.41686,0.57926,0.85,0.84868,0.63085,1.62864,1.02205,1.37253,0,0,0
2,8.72385,1.21944,2.58079,1.54877,0.57953,0.85,0.84955,0.63108,1.6306,1.00191,1.36791,1.07219e-06,1.07219e-06,1.07219e-06
3,9.32437,0.98764,1.86275,1.46379,0.60101,0.85,0.84937,0.64845,1.64131,1.01207,1.3734,1.90876e-06,1.90876e-06,1.90876e-06
4,9.88369,1.11978,1.91192,1.40696,0.61477,0.85,0.84972,0.64841,1.64266,0.99387,1.36684,2.50971e-06,2.50971e-06,2.50971e-06
5,10.5423,0.91236,2.05629,1.14841,0.62457,0.85,0.85111,0.64879,1.64176,0.99086,1.36944,2.87504e-06,2.87504e-06,2.87504e-06
6,11.2953,0.96387,2.12843,1.29697,0.62576,0.85,0.85286,0.65023,1.62578,0.98333,1.35731,3.00475e-06,3.00475e-06,3.00475e-06
7,12.0162,1.20422,2.03203,1.5437,0.6233,0.85,0.88952,0.63971,1.60856,0.97897,1.34517,2.89884e-06,2.89884e-06,2.89884e-06
8,12.7225,1.15916,1.70701,1.32044,0.63603,0.85,0.85534,0.63577,1.61027,0.97433,1.34272,2.55731e-06,2.55731e-06,2.55731e-06
9,13.3843,1.0488,1.89386,1.42603,0.63655,0.85,0.8557,0.63336,1.58835,0.97251,1.33185,1.98016e-06,1.98016e-06,1.98016e-06
10,14.0799,0.92681,1.61413,1.2449,0.6355,0.85,0.85841,0.63354,1.59602,0.97189,1.33305,1.16739e-06,1.16739e-06,1.16739e-06
