epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4182,2.07131,4.11324,1.91041,0.76049,0.06944,0.14177,0.06443,2.2707,3.66164,1.83346,0.000469529,0.000469529,0.000469529
2,34.0572,1.73949,2.80802,1.62799,0.22322,0.12847,0.12947,0.03987,2.43725,3.79515,2.25736,0.000942741,0.000942741,0.000942741
3,51.7784,1.64027,2.24633,1.56265,0.14268,0.45486,0.2173,0.11157,2.07174,2.99065,1.85833,0.00141281,0.00141281,0.00141281
4,65.9031,1.54839,1.92278,1.52648,0.52326,0.50897,0.51103,0.18679,2.17212,2.28421,2.04737,0.00141485,0.00141485,0.00141485
5,83.2801,1.45871,1.68437,1.47413,0.44497,0.30642,0.30245,0.17304,1.94587,2.48632,1.72761,0.00141014,0.00141014,0.00141014
6,97.143,1.40177,1.47152,1.41826,0.41319,0.41496,0.29842,0.12729,1.99042,2.35507,1.82349,0.00140542,0.00140542,0.00140542
7,114.926,1.34723,1.32242,1.36244,0.34784,0.43316,0.44121,0.2006,2.06851,2.12578,1.68705,0.00140071,0.00140071,0.00140071
8,129.197,1.27172,1.19226,1.32189,0.3745,0.63118,0.49682,0.2597,1.91564,1.75278,1.63607,0.00139599,0.00139599,0.00139599
9,145.018,1.20137,1.107,1.28013,0.40384,0.60027,0.53356,0.26778,2.06177,1.89503,1.73923,0.00139127,0.00139127,0.00139127
10,162.308,1.15211,1.0333,1.2441,0.45924,0.5896,0.5289,0.22811,2.03186,1.63126,1.72017,0.00138656,0.00138656,0.00138656
11,177.164,1.18924,0.99769,1.26469,0.34917,0.29119,0.39903,0.18041,2.18265,2.23614,1.81395,0.00138184,0.00138184,0.00138184
12,194.152,1.11189,0.93333,1.21608,0.36066,0.55979,0.50036,0.24978,2.1056,1.90049,1.82833,0.00137713,0.00137713,0.00137713
13,208.819,1.08369,0.87882,1.19659,0.52664,0.63628,0.5843,0.25725,2.1451,1.7163,1.81301,0.00137241,0.00137241,0.00137241
14,225.99,1.05709,0.86093,1.18367,0.42937,0.57031,0.5094,0.24116,2.21045,1.59385,1.92677,0.0013677,0.0013677,0.0013677
15,241.246,1.08249,0.87381,1.19072,0.49829,0.29965,0.37534,0.18999,2.04953,2.24651,1.70617,0.00136298,0.00136298,0.00136298
16,258.216,1.0668,0.85558,1.16975,0.50325,0.5625,0.53675,0.25134,1.94242,2.02632,1.6399,0.00135826,0.00135826,0.00135826
17,272.427,1.04391,0.81935,1.17118,0.49834,0.58574,0.56448,0.26267,2.03046,1.53147,1.85481,0.00135355,0.00135355,0.00135355
18,289.485,1.00307,0.78501,1.14862,0.48182,0.55122,0.55896,0.28798,1.98273,1.75647,1.59594,0.00134883,0.00134883,0.00134883
19,304.653,0.97864,0.79953,1.13859,0.63236,0.71267,0.68037,0.3479,2.1506,1.27527,1.73597,0.00134412,0.00134412,0.00134412
20,321.849,0.9954,0.78184,1.1546,0.64793,0.64497,0.64367,0.29058,2.12134,1.53791,1.69189,0.0013394,0.0013394,0.0013394
21,337.202,0.98976,0.77283,1.14351,0.49518,0.66177,0.60306,0.26497,2.01652,1.71474,1.64263,0.00133469,0.00133469,0.00133469
22,353.598,0.96599,0.74277,1.12814,0.5596,0.56511,0.58288,0.23674,2.27913,1.6661,1.94326,0.00132997,0.00132997,0.00132997
23,368.681,0.95671,0.72551,1.12185,0.44761,0.7134,0.54938,0.25344,2.04685,1.72651,1.76046,0.00132525,0.00132525,0.00132525
24,385.286,0.97764,0.74594,1.13093,0.48803,0.55342,0.55714,0.26256,2.13387,1.62924,1.8334,0.00132054,0.00132054,0.00132054
25,399.879,0.9122,0.69951,1.0987,0.53961,0.64632,0.57201,0.22692,2.23573,1.65701,1.95323,0.00131582,0.00131582,0.00131582
26,414.481,0.89375,0.67008,1.07742,0.45098,0.60851,0.50435,0.24048,2.23821,1.63565,2.12871,0.00131111,0.00131111,0.00131111
27,431.366,0.89595,0.65607,1.08324,0.59971,0.65799,0.63065,0.27982,2.1881,1.5151,1.91633,0.00130639,0.00130639,0.00130639
28,446.053,0.9603,0.70892,1.12447,0.51958,0.56651,0.58869,0.2734,2.06328,1.51136,1.77777,0.00130168,0.00130168,0.00130168
29,463.054,0.92013,0.68809,1.09259,0.48357,0.67264,0.56656,0.27272,2.27587,1.40337,2.07769,0.00129696,0.00129696,0.00129696
30,476.916,0.85558,0.64519,1.06639,0.6277,0.74456,0.7043,0.31667,2.0968,1.49407,1.77941,0.00129224,0.00129224,0.00129224
31,493.582,0.88329,0.65435,1.08373,0.53182,0.66753,0.6136,0.2784,2.23626,1.41067,2.04008,0.00128753,0.00128753,0.00128753
32,508.395,0.88602,0.64297,1.07247,0.54315,0.64639,0.61567,0.26856,2.33177,1.53284,2.1571,0.00128281,0.00128281,0.00128281
33,524.624,0.8482,0.62003,1.05403,0.70121,0.70226,0.69149,0.31458,2.33568,1.32237,2.06364,0.0012781,0.0012781,0.0012781
34,539.049,0.83357,0.61304,1.04703,0.47414,0.63976,0.52702,0.25109,2.21732,1.53617,2.0214,0.00127338,0.00127338,0.00127338
35,555.814,0.84708,0.62071,1.05957,0.36103,0.57639,0.48802,0.22669,2.19206,2.05169,2.00188,0.00126867,0.00126867,0.00126867
36,570.88,0.87725,0.63577,1.06428,0.47569,0.59117,0.56382,0.24513,2.46997,1.68266,2.12944,0.00126395,0.00126395,0.00126395
