epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1445,2.46592,6.92251,2.44919,0.00168,0.28968,0.03102,0.00373,1.90925,4.5353,1.81798,0.00010003,0.00010003,0.00010003
2,67.2907,2.11063,6.29362,2.14678,0.0028,0.50397,0.03692,0.01799,1.79105,4.25966,1.73461,0.000212228,0.000212228,0.000212228
3,99.664,1.67392,5.28042,1.70045,0.01245,0.57143,0.14205,0.04667,1.91383,4.22762,1.88328,0.000322162,0.000322162,0.000322162
4,133.565,1.61652,4.66425,1.65028,0.01096,0.65873,0.23772,0.0922,1.7404,4.34809,1.69383,0.000429833,0.000429833,0.000429833
5,165.069,1.61521,4.45887,1.69848,0.00516,0.44048,0.0912,0.05426,2.04998,4.57299,1.78865,0.000535241,0.000535241,0.000535241
6,199.436,1.50851,3.83195,1.54646,0.01209,0.63492,0.11518,0.06643,1.73128,4.12639,1.66802,0.000638384,0.000638384,0.000638384
7,230.086,1.53292,3.55088,1.5379,0.01569,0.86508,0.16361,0.09487,1.85208,4.0709,1.64357,0.000739265,0.000739265,0.000739265
8,261.539,1.452,3.1659,1.47176,0.00394,0.66667,0.1365,0.07709,2.40714,4.6041,2.19272,0.000837881,0.000837881,0.000837881
9,291.581,1.42989,3.094,1.4877,0.00296,0.81746,0.15742,0.06467,1.79045,3.81984,1.80111,0.000934234,0.000934234,0.000934234
10,323.561,1.31023,2.79435,1.37937,0.72248,0.07648,0.10344,0.06407,2.01929,4.50448,1.89667,0.00102832,0.00102832,0.00102832
11,357.849,1.33071,2.7296,1.40893,0.35401,0.18746,0.15521,0.07192,2.46874,4.67035,2.36775,0.00112015,0.00112015,0.00112015
12,389.633,1.35908,2.7321,1.44727,0.50232,0.12698,0.11125,0.05199,1.93405,3.7493,1.9889,0.00120971,0.00120971,0.00120971
13,420.745,1.33954,2.45864,1.39772,0.39311,0.34921,0.30914,0.17282,1.76527,5.65857,1.92617,0.00125923,0.00125923,0.00125923
14,450.837,1.3004,2.36339,1.41413,0.04485,0.04762,0.01967,0.00662,2.58267,5.37336,2.97984,0.00124509,0.00124509,0.00124509
15,481.522,1.33003,2.33523,1.39539,0.10901,0.01587,0.01513,0.00604,3.58637,40.4826,4.65105,0.00123094,0.00123094,0.00123094
16,510.069,1.30446,2.27631,1.38513,0.33691,0.01587,0.00214,0.0008,2.8848,4.72275,3.37078,0.00121679,0.00121679,0.00121679
17,539.075,1.26226,2.10668,1.3716,0.6719,0.03175,0.00434,0.00172,2.80717,5.96619,2.99452,0.00120265,0.00120265,0.00120265
18,568.628,1.3243,1.99808,1.38279,0.23576,0.3959,0.20429,0.10837,1.8064,3.57273,1.97438,0.0011885,0.0011885,0.0011885
19,601.657,1.20948,1.73951,1.31487,0.21123,0.33333,0.21247,0.08045,2.18945,3.67595,2.13741,0.00117435,0.00117435,0.00117435
20,631.329,1.26107,1.84224,1.37497,0.05175,0.07143,0.04309,0.01057,2.37866,4.64713,2.4708,0.00116021,0.00116021,0.00116021
21,663.238,1.19938,1.74955,1.34025,0.62743,0.11111,0.15475,0.09106,1.75884,3.41188,1.94418,0.00114606,0.00114606,0.00114606
22,692.074,1.20941,1.5829,1.34632,0.1481,0.43651,0.21916,0.11905,1.73271,2.4531,1.80236,0.00113191,0.00113191,0.00113191
23,721.808,1.22362,1.61691,1.31742,0.63686,0.20635,0.18894,0.10081,1.63749,2.45972,1.74685,0.00111776,0.00111776,0.00111776
24,755.894,1.13694,1.44693,1.26479,0.06476,0.11111,0.07506,0.03565,1.97468,3.25485,1.88155,0.00110362,0.00110362,0.00110362
25,784.178,1.14074,1.41449,1.26747,0.35348,0.34921,0.34423,0.12469,1.95511,2.26709,1.94007,0.00108947,0.00108947,0.00108947
26,813.461,1.0942,1.32739,1.21896,0.7817,0.36508,0.46083,0.21234,1.71646,1.76146,1.77493,0.00107532,0.00107532,0.00107532
27,842.955,1.05023,1.25247,1.24519,0.35316,0.25394,0.13076,0.0635,2.48868,4.0136,2.26918,0.00106118,0.00106118,0.00106118
28,872.199,1.0275,1.20937,1.21442,0.81929,0.38969,0.5316,0.28602,1.56015,2.26468,1.66548,0.00104703,0.00104703,0.00104703
29,901.855,1.04441,1.24315,1.23285,0.41963,0.40911,0.40363,0.13098,2.03326,2.20166,2.1346,0.00103288,0.00103288,0.00103288
30,934.161,1.0972,1.25176,1.22579,0.46329,0.5309,0.44072,0.23196,1.63453,1.98588,1.66679,0.00101873,0.00101873,0.00101873
31,963.87,1.09301,1.22105,1.24019,0.65438,0.40873,0.49075,0.22191,2.14682,1.94724,2.30581,0.00100459,0.00100459,0.00100459
32,993.741,1.07367,1.13044,1.2247,0.52586,0.60638,0.61816,0.31066,1.721,1.46257,1.83835,0.00099044,0.00099044,0.00099044
33,1022.88,1.06416,1.1191,1.20644,0.68606,0.69444,0.72559,0.39285,1.57262,1.29751,1.63163,0.000976293,0.000976293,0.000976293
34,1051.75,0.98179,1.01997,1.18977,0.69931,0.57302,0.6367,0.34015,1.66073,1.6643,1.53774,0.000962146,0.000962146,0.000962146
35,1080.41,0.97862,1.01177,1.18796,0.78948,0.71782,0.83366,0.42421,1.65749,1.31657,1.63042,0.000947999,0.000947999,0.000947999
36,1111.4,0.97252,1.01736,1.18617,0.91359,0.88815,0.93799,0.48061,1.69905,0.82555,1.7393,0.000933851,0.000933851,0.000933851
37,1140.56,0.93239,0.94342,1.11472,0.78914,0.88192,0.90961,0.51263,1.42279,0.89076,1.54489,0.000919704,0.000919704,0.000919704
38,1169.39,0.94714,0.94152,1.16026,0.62226,0.34921,0.38947,0.17747,1.80025,2.51871,1.82515,0.000905557,0.000905557,0.000905557
39,1198.22,0.98341,0.9845,1.19374,0.72877,0.9209,0.88612,0.39019,1.74762,1.15691,1.8402,0.00089141,0.00089141,0.00089141
40,1225.75,0.93382,0.89692,1.16481,0.66939,0.74206,0.78629,0.39327,1.85961,1.34724,1.97314,0.000877263,0.000877263,0.000877263
41,1259.76,0.94599,0.91716,1.13525,0.60173,0.79306,0.80544,0.43131,1.60697,1.19919,1.75988,0.000863116,0.000863116,0.000863116
42,1287.95,0.92442,0.91341,1.13805,0.73309,0.52012,0.74105,0.4161,1.59781,1.18152,1.67939,0.000848969,0.000848969,0.000848969
43,1317.54,0.92633,0.88981,1.14015,0.51426,0.76587,0.70186,0.36905,1.5468,1.15139,1.58846,0.000834822,0.000834822,0.000834822
44,1348.08,0.87725,0.84277,1.11737,0.62675,0.83014,0.83737,0.47537,1.53614,1.09597,1.59591,0.000820675,0.000820675,0.000820675
45,1378.06,0.84315,0.79647,1.10445,0.64272,0.82348,0.8237,0.44912,1.65594,1.14441,1.75568,0.000806528,0.000806528,0.000806528
46,1407.8,0.83826,0.78973,1.08497,0.87206,0.89683,0.93399,0.48897,1.73136,0.89446,1.79192,0.00079238,0.00079238,0.00079238
47,1437.77,0.83327,0.77717,1.09343,0.79218,0.81079,0.91606,0.44076,1.77817,1.09039,1.80697,0.000778233,0.000778233,0.000778233
48,1467.21,0.86613,0.82576,1.12871,0.70471,0.68257,0.76217,0.38664,1.56752,1.25547,1.60559,0.000764086,0.000764086,0.000764086
49,1495.2,0.86251,0.79973,1.11601,0.63874,0.79054,0.7009,0.31951,1.74285,1.40343,1.71849,0.000749939,0.000749939,0.000749939
50,1524.51,0.83247,0.76736,1.10352,0.76788,0.77338,0.83177,0.47281,1.5014,1.02608,1.55938,0.000735792,0.000735792,0.000735792
51,1553.29,0.79888,0.76187,1.06915,0.70932,0.75143,0.8528,0.45324,1.51825,1.06507,1.60999,0.000721645,0.000721645,0.000721645
52,1582.3,0.81978,0.72868,1.07798,0.88739,0.82201,0.9046,0.43009,1.73229,0.86819,1.84397,0.000707498,0.000707498,0.000707498
53,1610.56,0.82984,0.74892,1.07738,0.81919,0.75,0.82963,0.47351,1.56817,0.91334,1.6419,0.000693351,0.000693351,0.000693351
54,1641.22,0.75023,0.67561,1.02644,0.7505,0.84226,0.81316,0.54501,1.28882,0.86512,1.43874,0.000679204,0.000679204,0.000679204
55,1670.62,0.77254,0.70343,1.06091,0.67162,0.72295,0.77754,0.46645,1.46606,1.16147,1.59099,0.000665057,0.000665057,0.000665057
56,1697.87,0.72642,0.65603,1.02804,0.79801,0.80313,0.82009,0.46161,1.55059,1.02879,1.68333,0.000650909,0.000650909,0.000650909
57,1727.46,0.69977,0.64449,1.01988,0.664,0.79762,0.80174,0.43078,1.58919,0.96374,1.65356,0.000636762,0.000636762,0.000636762
58,1760.26,0.74909,0.66712,1.04507,0.85247,0.84921,0.90227,0.50447,1.51447,0.82257,1.61017,0.000622615,0.000622615,0.000622615
59,1789.09,0.73209,0.63276,1.03185,0.71314,0.79841,0.78683,0.42441,1.67266,0.93286,1.74535,0.000608468,0.000608468,0.000608468
60,1818.29,0.79772,0.69741,1.06667,0.80312,0.78017,0.82854,0.42719,1.66454,0.99558,1.7519,0.000594321,0.000594321,0.000594321
61,1847.88,0.77929,0.67663,1.02875,0.67777,0.72462,0.72545,0.4162,1.65843,0.98569,1.78831,0.000580174,0.000580174,0.000580174
62,1877.28,0.71617,0.64648,1.03339,0.51964,0.55515,0.60469,0.39509,1.57228,1.34443,1.52023,0.000566027,0.000566027,0.000566027
63,1905.56,0.70238,0.6186,1.04814,0.59243,0.84127,0.72705,0.42361,1.5369,1.03798,1.56373,0.00055188,0.00055188,0.00055188
64,1936.59,0.70853,0.63376,1.02311,0.86446,0.87317,0.86404,0.52299,1.46272,0.99074,1.50384,0.000537733,0.000537733,0.000537733
65,1968.34,0.70322,0.63226,1.00828,0.80982,0.84921,0.88099,0.52957,1.40063,0.82363,1.50899,0.000523586,0.000523586,0.000523586
66,2000.47,0.715,0.64806,1.02652,0.77955,0.85714,0.88257,0.47018,1.66016,0.97503,1.60129,0.000509438,0.000509438,0.000509438
67,2035.12,0.72612,0.65055,1.04101,0.86086,0.90752,0.8948,0.50339,1.61864,0.82053,1.69188,0.000495291,0.000495291,0.000495291
68,2066.15,0.66686,0.59372,1.01448,0.88496,0.87302,0.91242,0.4886,1.55532,0.87543,1.64794,0.000481144,0.000481144,0.000481144
69,2096.44,0.64331,0.58257,1.01029,0.90521,0.89001,0.92114,0.52271,1.58889,0.75238,1.69068,0.000466997,0.000466997,0.000466997
70,2130.04,0.63736,0.55624,0.99634,0.93675,0.90014,0.94732,0.52568,1.61085,0.77076,1.7556,0.00045285,0.00045285,0.00045285
71,2160.3,0.65659,0.53747,0.99136,0.92015,0.92979,0.957,0.55103,1.57084,0.73731,1.73698,0.000438703,0.000438703,0.000438703
