epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.143,2.45466,5.02162,2.26801,0.00088,0.2381,0.00171,0.00085,2.03785,4.25456,1.8737,0.00010003,0.00010003,0.00010003
2,5.97845,2.20344,4.71421,2.08328,0.00032,0.07937,0.00038,0.00012,2.27535,4.08353,1.92018,0.000212228,0.000212228,0.000212228
3,8.83951,1.83364,4.06193,1.71292,0.00215,0.65079,0.01904,0.00558,1.86863,3.94555,1.55301,0.000322162,0.000322162,0.000322162
4,11.6939,1.72855,3.39318,1.64769,0.00096,0.32937,0.08109,0.02706,1.90974,3.85546,1.66482,0.000429833,0.000429833,0.000429833
5,17.1357,1.73605,3.22665,1.662,0.00107,0.34921,0.03957,0.01724,2.24863,4.07326,2.04617,0.000535241,0.000535241,0.000535241
6,20.0237,1.6851,2.88074,1.60098,0.00306,0.80556,0.10519,0.03149,2.01707,3.57803,1.55315,0.000638384,0.000638384,0.000638384
7,22.7023,1.65231,2.59287,1.57299,0.00205,0.56746,0.22404,0.0801,1.88673,3.70018,1.68826,0.000739265,0.000739265,0.000739265
8,25.4363,1.57725,2.43217,1.56486,0.00283,0.77381,0.27088,0.10132,1.77405,3.43547,1.58992,0.000837881,0.000837881,0.000837881
9,28.1091,1.49271,2.29208,1.515,0.00285,0.8254,0.22986,0.10263,1.86312,3.50504,1.55261,0.000934234,0.000934234,0.000934234
10,30.7016,1.40114,2.15163,1.4087,0.00187,0.56746,0.07823,0.04074,2.1296,3.99011,2.00377,0.00102832,0.00102832,0.00102832
11,33.1948,1.42501,2.05146,1.39867,0.5308,0.07937,0.1955,0.11262,1.82358,3.36636,1.50428,0.00112015,0.00112015,0.00112015
12,35.8568,1.38102,1.98478,1.35871,0.86529,0.29746,0.40927,0.20339,1.67371,2.6911,1.36247,0.00120971,0.00120971,0.00120971
13,38.5118,1.38745,1.94948,1.38758,0.34201,0.20635,0.2727,0.14923,1.86754,2.76964,1.41544,0.00125923,0.00125923,0.00125923
14,41.1986,1.42123,1.88976,1.42041,0.25136,0.19048,0.1485,0.06639,2.12502,3.52535,1.73011,0.00124509,0.00124509,0.00124509
15,44.1212,1.37316,1.85307,1.38487,0.11003,0.0119,0.01511,0.00339,2.35974,12.2651,2.14564,0.00123094,0.00123094,0.00123094
16,49.2649,1.45684,1.87817,1.42987,0.14754,0.30952,0.07762,0.02055,1.89062,3.46132,1.83683,0.00121679,0.00121679,0.00121679
17,52.422,1.367,1.72687,1.40294,0.29059,0.29365,0.23014,0.08941,1.83674,8.72504,2.0857,0.00120265,0.00120265,0.00120265
18,55.1949,1.33207,1.55503,1.32769,0.51831,0.14286,0.17425,0.07711,1.75396,3.63352,1.65254,0.0011885,0.0011885,0.0011885
19,57.7209,1.28092,1.51194,1.30505,0.29006,0.30999,0.31136,0.16173,1.60313,2.46708,1.37122,0.00117435,0.00117435,0.00117435
20,60.1634,1.32718,1.5596,1.35782,0.61669,0.22222,0.312,0.20691,1.66162,3.16581,1.47059,0.00116021,0.00116021,0.00116021
21,62.8002,1.24412,1.39864,1.31141,0.42562,0.43254,0.39093,0.22402,1.73314,2.04325,1.4781,0.00114606,0.00114606,0.00114606
22,65.3387,1.24742,1.36114,1.28899,0.24825,0.45635,0.34926,0.16666,1.9189,2.01976,1.66984,0.00113191,0.00113191,0.00113191
23,67.9183,1.24071,1.39868,1.2875,0.63972,0.20395,0.20911,0.11314,2.00903,2.7392,1.84278,0.00111776,0.00111776,0.00111776
24,70.4918,1.17065,1.2911,1.26084,0.24247,0.2738,0.27131,0.14008,1.75641,2.51513,1.57927,0.00110362,0.00110362,0.00110362
25,73.1041,1.14174,1.26028,1.24724,0.18546,0.1018,0.07773,0.02544,1.97794,3.25925,1.8466,0.00108947,0.00108947,0.00108947
26,75.7483,1.18632,1.26795,1.25424,0.41449,0.36665,0.40429,0.22536,1.82833,2.30089,1.64154,0.00107532,0.00107532,0.00107532
27,78.4712,1.16259,1.25604,1.239,0.25774,0.40476,0.39204,0.25006,1.64214,2.19904,1.42431,0.00106118,0.00106118,0.00106118
28,81.3254,1.06856,1.15232,1.2098,0.379,0.56299,0.54825,0.29122,1.70143,2.16239,1.45975,0.00104703,0.00104703,0.00104703
29,86.2821,1.07892,1.16858,1.20651,0.40144,0.72832,0.56608,0.30125,1.49261,1.80817,1.28101,0.00103288,0.00103288,0.00103288
30,89.1435,1.07677,1.1333,1.20917,0.38293,0.75616,0.54295,0.27287,1.74451,1.61043,1.36407,0.00101873,0.00101873,0.00101873
31,91.9387,1.11544,1.17091,1.19933,0.57462,0.56347,0.49354,0.20744,1.82051,1.70623,1.57105,0.00100459,0.00100459,0.00100459
32,94.5302,1.06252,1.07487,1.17586,0.55599,0.68765,0.63599,0.31828,1.82403,1.50115,1.64233,0.00099044,0.00099044,0.00099044
33,97.0085,1.03794,1.01002,1.15772,0.4966,0.43254,0.48464,0.23567,1.70187,1.92086,1.44161,0.000976293,0.000976293,0.000976293
34,99.8142,1.08175,1.07427,1.18874,0.88776,0.20323,0.3268,0.13733,1.80789,2.37171,1.51088,0.000962146,0.000962146,0.000962146
35,102.453,1.05648,1.08266,1.19246,0.38836,0.34524,0.40335,0.18489,1.69103,2.05471,1.46272,0.000947999,0.000947999,0.000947999
36,104.996,1.01389,1.00626,1.1505,0.26893,0.42857,0.34195,0.18703,1.67729,2.33352,1.3435,0.000933851,0.000933851,0.000933851
37,107.627,0.96191,0.95079,1.12466,0.51859,0.60563,0.57943,0.24412,1.5867,1.87838,1.40557,0.000919704,0.000919704,0.000919704
38,110.439,0.95524,0.93847,1.12441,0.41624,0.48549,0.48269,0.25217,1.48441,1.92191,1.28788,0.000905557,0.000905557,0.000905557
39,113.484,0.95255,0.92307,1.11403,0.42083,0.47697,0.47541,0.21488,1.52212,1.86807,1.38959,0.00089141,0.00089141,0.00089141
40,116.167,0.93874,0.8999,1.14329,0.42642,0.58333,0.60895,0.33961,1.41219,1.64937,1.29038,0.000877263,0.000877263,0.000877263
