epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.40603,2.31695,4.78354,2.14551,0.00139,0.4881,0.06208,0.01461,2.32655,3.95717,1.81679,0.00021435,0.00021435,0.00021435
2,9.89079,1.91278,4.1094,1.71876,0.00307,0.5,0.01718,0.00379,2.10693,3.90329,1.56309,0.000441528,0.000441528,0.000441528
3,14.2398,1.87564,3.5311,1.77071,0.0022,0.45635,0.08033,0.03572,1.84181,3.77072,1.43627,0.000667197,0.000667197,0.000667197
4,18.9647,1.80998,3.24968,1.68935,0.00328,0.59921,0.09802,0.03888,1.95755,3.72353,1.78407,0.000891357,0.000891357,0.000891357
5,20.7837,1.78496,3.15014,1.66611,0.13646,0.22619,0.08793,0.03055,2.11358,4.27166,2.33598,0.00111401,0.00111401,0.00111401
6,25.0174,1.7297,2.81182,1.63304,0.02032,0.49206,0.02217,0.00673,1.86775,4.24685,1.81411,0.00133515,0.00133515,0.00133515
7,28.8982,1.58027,2.50149,1.54079,0.00803,0.23016,0.00596,0.00176,2.17235,10.4584,2.24565,0.00140071,0.00140071,0.00140071
8,32.7703,1.63839,2.53582,1.59016,0.0187,0.15476,0.02118,0.0058,2.32475,5.10891,2.58155,0.00139599,0.00139599,0.00139599
9,37.1046,1.56149,2.3175,1.5458,0.31116,0.27778,0.17478,0.07123,2.23193,3.94539,2.20215,0.00139127,0.00139127,0.00139127
10,41.0739,1.658,2.26192,1.59801,0.38498,0.19019,0.21961,0.08301,2.06559,3.74403,1.87177,0.00138656,0.00138656,0.00138656
11,44.6912,1.52546,2.05344,1.51034,0.11542,0.1746,0.11422,0.04045,2.00646,4.35845,1.81144,0.00138184,0.00138184,0.00138184
12,48.6179,1.52741,2.05703,1.48558,0.45992,0.25,0.15767,0.07815,2.20689,3.78304,2.14514,0.00137713,0.00137713,0.00137713
13,50.837,1.47827,1.9824,1.48244,0.27491,0.37243,0.29515,0.12152,2.17071,2.45407,2.12458,0.00137241,0.00137241,0.00137241
14,55.3029,1.41619,1.78473,1.45337,0.08677,0.35714,0.14998,0.04431,2.35353,3.81527,2.519,0.0013677,0.0013677,0.0013677
15,58.841,1.47646,1.80998,1.52607,0.34831,0.28968,0.27295,0.15229,1.84565,2.88925,1.67139,0.00136298,0.00136298,0.00136298
16,62.9755,1.37274,1.73187,1.42706,0.16145,0.41667,0.23843,0.09957,1.96118,3.46543,1.78178,0.00135826,0.00135826,0.00135826
17,67.022,1.39732,1.73476,1.4381,0.40243,0.21032,0.16406,0.06481,2.27881,6.27924,2.07854,0.00135355,0.00135355,0.00135355
18,70.9391,1.35316,1.61683,1.38544,0.45633,0.42276,0.3703,0.13934,2.08663,2.95524,2.05849,0.00134883,0.00134883,0.00134883
19,74.6359,1.28577,1.45476,1.35608,0.2969,0.23504,0.18105,0.06643,1.89416,2.84628,1.82685,0.00134412,0.00134412,0.00134412
20,78.1707,1.28719,1.50476,1.40161,0.24858,0.48811,0.25995,0.1465,1.65498,2.98909,1.49572,0.0013394,0.0013394,0.0013394
21,79.8232,1.27277,1.41438,1.35052,0.53605,0.40767,0.38107,0.22109,1.7514,2.29178,1.43248,0.00133469,0.00133469,0.00133469
22,84.5689,1.31191,1.43094,1.35872,0.53565,0.36508,0.50595,0.24236,1.75395,1.9509,1.54242,0.00132997,0.00132997,0.00132997
23,88.7647,1.24487,1.34301,1.32971,0.84793,0.28571,0.43037,0.22565,1.73738,1.96814,1.51566,0.00132525,0.00132525,0.00132525
24,92.7155,1.27359,1.37013,1.33813,0.40457,0.4881,0.50086,0.21189,1.95691,2.01712,1.65318,0.00132054,0.00132054,0.00132054
25,96.4666,1.28029,1.30037,1.34102,0.45419,0.59701,0.59967,0.26041,2.06049,1.68777,1.5917,0.00131582,0.00131582,0.00131582
26,100.936,1.22786,1.25793,1.30987,0.42559,0.54762,0.48159,0.21114,2.04204,1.86729,1.57274,0.00131111,0.00131111,0.00131111
27,104.623,1.19356,1.18183,1.27389,0.83925,0.29081,0.44754,0.21028,1.94366,2.00334,1.6934,0.00130639,0.00130639,0.00130639
28,108.746,1.16884,1.19232,1.27754,0.39175,0.5979,0.53638,0.28593,1.89968,1.74375,1.69312,0.00130168,0.00130168,0.00130168
29,110.155,1.17319,1.1632,1.27155,0.47848,0.34869,0.42568,0.22201,1.75249,2.1472,1.55717,0.00129696,0.00129696,0.00129696
30,114.048,1.12272,1.12741,1.26077,0.54147,0.57538,0.56913,0.25846,1.84726,1.96269,1.51771,0.00129224,0.00129224,0.00129224
31,117.697,1.07764,1.07589,1.22662,0.52962,0.54473,0.55746,0.25827,1.78098,2.1307,1.50467,0.00128753,0.00128753,0.00128753
32,121.644,1.19346,1.1141,1.2743,0.36159,0.50397,0.45616,0.23448,1.86402,2.1305,1.49966,0.00128281,0.00128281,0.00128281
33,125.501,1.17724,1.11418,1.23699,0.34637,0.38095,0.44677,0.1845,1.82732,2.30521,1.55452,0.0012781,0.0012781,0.0012781
34,129.766,1.17647,1.14334,1.26344,0.91455,0.34143,0.55757,0.28386,1.55638,1.84374,1.38971,0.00127338,0.00127338,0.00127338
35,133.937,1.08959,1.03999,1.2421,0.33314,0.5873,0.42642,0.20578,1.72696,2.01697,1.3375,0.00126867,0.00126867,0.00126867
36,137.937,1.07218,1.00831,1.18705,0.50345,0.59524,0.56099,0.22221,1.94034,2.20079,1.59654,0.00126395,0.00126395,0.00126395
37,141.693,1.03486,0.94166,1.16545,0.50785,0.63889,0.48878,0.25846,1.8458,1.89747,1.61726,0.00125923,0.00125923,0.00125923
38,143.004,1.0496,0.96971,1.18282,0.29259,0.53175,0.48769,0.19441,1.98066,2.15195,1.71408,0.00125452,0.00125452,0.00125452
39,147.033,1.09118,0.96,1.21475,0.47314,0.53175,0.53435,0.26362,1.94474,1.67253,1.69373,0.0012498,0.0012498,0.0012498
40,151.014,0.99072,0.89857,1.16815,0.5752,0.45635,0.49411,0.25407,1.92097,1.91727,1.62926,0.00124509,0.00124509,0.00124509
41,155.06,1.03148,0.9547,1.17848,0.42733,0.5377,0.52411,0.28603,1.92969,2.09456,1.74191,0.00124037,0.00124037,0.00124037
42,159.018,0.99286,0.86013,1.15252,0.94782,0.35449,0.52281,0.27816,1.91066,2.12399,1.58829,0.00123566,0.00123566,0.00123566
43,163.482,0.99265,0.88986,1.14269,0.48097,0.57975,0.57846,0.28044,1.99479,1.90187,1.66073,0.00123094,0.00123094,0.00123094
44,168.018,1.00531,0.87176,1.16426,0.56382,0.40476,0.50314,0.27506,1.9104,1.70914,1.54483,0.00122622,0.00122622,0.00122622
45,171.729,1.01156,0.9086,1.16779,0.54617,0.64286,0.6475,0.32472,1.73723,1.37735,1.45942,0.00122151,0.00122151,0.00122151
46,173.057,1.02711,0.9058,1.163,0.43682,0.76422,0.60234,0.31986,1.81005,1.35478,1.4725,0.00121679,0.00121679,0.00121679
47,176.779,0.97311,0.83806,1.12092,0.48782,0.5,0.53429,0.2671,1.75602,1.69066,1.5489,0.00121208,0.00121208,0.00121208
48,180.644,1.0348,0.89213,1.18838,0.53783,0.61305,0.65713,0.31914,1.71591,1.45543,1.36707,0.00120736,0.00120736,0.00120736
49,184.669,1.02068,0.8766,1.17616,0.58198,0.70238,0.59255,0.28855,1.94941,1.66023,1.62147,0.00120265,0.00120265,0.00120265
50,189.123,0.94269,0.85816,1.14076,0.86188,0.3138,0.43685,0.20943,1.90293,1.97205,1.61192,0.00119793,0.00119793,0.00119793
51,193.294,0.98591,0.83635,1.14768,0.54712,0.63095,0.62069,0.27738,1.89684,1.71594,1.4912,0.00119322,0.00119322,0.00119322
52,197.482,0.96104,0.82941,1.14056,0.46656,0.59899,0.59039,0.29894,1.84847,1.85445,1.56593,0.0011885,0.0011885,0.0011885
53,199.466,0.92674,0.8006,1.13701,0.52938,0.6746,0.65341,0.36192,1.85743,1.58726,1.52391,0.00118378,0.00118378,0.00118378
54,203.122,0.96663,0.79838,1.13209,0.41641,0.78175,0.60973,0.34816,1.76048,1.61863,1.49038,0.00117907,0.00117907,0.00117907
55,206.844,0.96813,0.81657,1.13736,0.4887,0.56739,0.60278,0.34866,1.84666,1.38406,1.63575,0.00117435,0.00117435,0.00117435
