epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10158,2.45466,5.02162,2.26801,0.00088,0.2381,0.00171,0.00085,2.03785,4.25456,1.8737,0.00010003,0.00010003,0.00010003
2,5.92009,2.19738,4.74622,2.09502,0.00053,0.1627,0.0008,0.00032,2.33115,4.07476,1.93994,0.000214302,0.000214302,0.000214302
3,8.69481,1.80476,4.02856,1.70019,0.00174,0.49603,0.00644,0.00129,2.29337,4.01648,1.72423,0.000328378,0.000328378,0.000328378
4,11.661,1.72172,3.37358,1.61501,0.00278,0.70635,0.2309,0.09994,2.04328,3.77334,1.5867,0.000442105,0.000442105,0.000442105
5,14.9051,1.7316,3.19009,1.63145,0.00322,0.59921,0.03864,0.01333,2.21523,3.92842,1.88235,0.000555332,0.000555332,0.000555332
6,20.7686,1.62057,2.85741,1.54811,0.00532,0.6627,0.03475,0.00796,2.00345,3.79119,1.58178,0.000667909,0.000667909,0.000667909
7,23.7214,1.61743,2.58888,1.50924,0.00726,0.65476,0.11516,0.03034,1.99404,3.67529,1.48511,0.000779685,0.000779685,0.000779685
8,26.6257,1.55738,2.43153,1.50253,0.00262,0.68254,0.12136,0.03813,1.87026,3.56918,1.57495,0.000890513,0.000890513,0.000890513
9,29.5476,1.48562,2.28135,1.46956,0.41231,0.03175,0.08279,0.02837,2.3526,4.0207,2.48954,0.00100025,0.00100025,0.00100025
10,32.1086,1.43387,2.14422,1.382,0.41323,0.07937,0.05387,0.01181,2.26362,3.90232,2.67124,0.00110874,0.00110874,0.00110874
11,34.7158,1.47445,2.11203,1.44565,0.00293,0.69444,0.06886,0.03734,2.28197,3.48783,2.34707,0.00121585,0.00121585,0.00121585
12,37.2788,1.4318,2.14863,1.38875,0.83528,0.22222,0.2678,0.13103,2.19529,3.1036,1.85066,0.00132143,0.00132143,0.00132143
13,40.027,1.42773,1.98715,1.38653,0.93987,0.07283,0.1532,0.06478,2.76563,3.73228,2.63406,0.00138384,0.00138384,0.00138384
14,42.6995,1.46412,1.89008,1.42071,0.5403,0.24131,0.30146,0.13088,2.01166,3.16009,1.90176,0.00137611,0.00137611,0.00137611
15,45.5229,1.38727,1.88675,1.38344,0.00393,0.03175,0.01321,0.00573,2.03684,4.25035,1.96026,0.0013678,0.0013678,0.0013678
16,48.4145,1.47607,2.00825,1.44044,0.09262,0.19048,0.08688,0.0389,1.86046,3.4381,1.60844,0.00135891,0.00135891,0.00135891
17,51.2357,1.3683,1.76837,1.36448,0.22917,0.39683,0.25604,0.13291,1.9609,2.69814,1.60714,0.00134946,0.00134946,0.00134946
18,56.6004,1.30779,1.56898,1.32304,0.49137,0.41234,0.39394,0.23784,1.88033,3.28494,1.5456,0.00133945,0.00133945,0.00133945
19,59.1903,1.34677,1.54564,1.31699,0.40496,0.40222,0.32723,0.15015,1.93537,2.29522,1.57233,0.0013289,0.0013289,0.0013289
20,61.8892,1.36301,1.58933,1.34808,0.44626,0.27903,0.34491,0.21325,1.64261,2.65026,1.49771,0.0013178,0.0013178,0.0013178
21,64.4057,1.26168,1.45584,1.31348,0.73407,0.04762,0.05895,0.02308,1.81598,3.77103,1.69614,0.00130619,0.00130619,0.00130619
22,67.1945,1.30361,1.39386,1.30726,0.5707,0.42857,0.33358,0.12274,1.80737,3.16851,1.51565,0.00129406,0.00129406,0.00129406
23,69.8483,1.29186,1.42548,1.28665,0.29827,0.4127,0.29185,0.17112,1.75081,2.28693,1.48147,0.00128143,0.00128143,0.00128143
24,72.3428,1.20374,1.31478,1.24398,0.23987,0.49206,0.25671,0.1153,2.06155,2.80299,1.74176,0.00126831,0.00126831,0.00126831
25,74.9615,1.22401,1.27866,1.28443,0.27833,0.36543,0.23991,0.09681,2.02734,2.42986,1.77002,0.00125471,0.00125471,0.00125471
26,77.6378,1.20473,1.1864,1.2456,0.19602,0.21429,0.17138,0.05445,2.14968,2.86417,1.81113,0.00124066,0.00124066,0.00124066
27,80.4135,1.12053,1.18783,1.22974,0.14951,0.26984,0.15526,0.06672,2.08348,2.5722,1.74464,0.00122615,0.00122615,0.00122615
28,83.1594,1.142,1.14594,1.21336,0.33316,0.49707,0.42281,0.16409,1.80384,2.23661,1.5399,0.00121121,0.00121121,0.00121121
29,86.3364,1.15444,1.16871,1.23196,0.38914,0.57937,0.4766,0.1882,1.79392,1.77235,1.57563,0.00119585,0.00119585,0.00119585
30,91.754,1.10405,1.15683,1.21367,0.40567,0.42074,0.46585,0.24499,1.83569,2.62467,1.67007,0.00118008,0.00118008,0.00118008
31,94.3434,1.13907,1.16402,1.20286,0.53834,0.49508,0.47861,0.25174,1.71278,1.90476,1.52484,0.00116393,0.00116393,0.00116393
32,96.9942,1.12997,1.10901,1.21969,0.66631,0.42837,0.63557,0.34481,1.81909,1.69636,1.57253,0.0011474,0.0011474,0.0011474
33,99.7213,1.08527,1.04312,1.19119,0.51879,0.55159,0.54877,0.31496,1.61259,1.51172,1.4122,0.00113051,0.00113051,0.00113051
34,102.263,1.03919,0.97972,1.16705,0.36882,0.43998,0.34502,0.19126,1.76416,2.37626,1.52968,0.00111329,0.00111329,0.00111329
35,104.798,1.09398,1.04835,1.19431,0.35032,0.37484,0.35861,0.19516,1.89534,2.50575,1.63724,0.00109574,0.00109574,0.00109574
36,107.447,1.026,0.97611,1.14829,0.5653,0.56349,0.50198,0.2663,1.76441,2.01476,1.55253,0.00107789,0.00107789,0.00107789
37,110.071,0.99973,0.94024,1.13466,0.62024,0.53968,0.59002,0.30961,1.61832,1.52779,1.37816,0.00105975,0.00105975,0.00105975
38,112.696,1.01258,0.90641,1.14404,0.62134,0.44205,0.53993,0.30126,1.72344,1.68406,1.43112,0.00104134,0.00104134,0.00104134
39,115.298,1.0523,0.95748,1.15153,0.56171,0.6214,0.58356,0.31947,1.69122,1.51067,1.49157,0.00102267,0.00102267,0.00102267
40,117.999,0.98385,0.91508,1.1597,0.46801,0.65305,0.5541,0.29541,1.68612,1.49387,1.39664,0.00100378,0.00100378,0.00100378
41,120.83,0.97373,0.85985,1.11998,0.47375,0.59087,0.4563,0.25071,1.66891,1.85571,1.46927,0.000984663,0.000984663,0.000984663
42,125.658,0.93566,0.83041,1.09915,0.34457,0.32514,0.34787,0.18575,1.792,2.3858,1.5518,0.000965355,0.000965355,0.000965355
43,128.182,1.01588,0.91497,1.1337,0.6334,0.60401,0.65907,0.36852,1.49056,1.44087,1.29303,0.00094587,0.00094587,0.00094587
44,130.79,0.96263,0.88726,1.1195,0.70634,0.64575,0.74393,0.4216,1.4368,1.34863,1.2825,0.000926227,0.000926227,0.000926227
45,133.437,0.88293,0.80717,1.06573,0.53589,0.72723,0.67408,0.38553,1.52218,1.36241,1.241,0.000906446,0.000906446,0.000906446
46,136.062,0.91597,0.80754,1.08411,0.61459,0.72998,0.65874,0.39905,1.48695,1.19026,1.29528,0.000886545,0.000886545,0.000886545
47,138.624,0.83041,0.75142,1.0397,0.42672,0.63984,0.65245,0.39695,1.47251,1.40382,1.3047,0.000866546,0.000866546,0.000866546
48,141.181,0.93885,0.81701,1.10074,0.52508,0.58435,0.59929,0.33128,1.49432,1.8008,1.23658,0.000846466,0.000846466,0.000846466
49,143.739,0.9398,0.80367,1.08935,0.61265,0.65512,0.67424,0.44854,1.33953,1.50755,1.25717,0.000826327,0.000826327,0.000826327
50,146.393,0.88389,0.76208,1.0817,0.59491,0.71429,0.72476,0.45201,1.36521,1.1785,1.21535,0.000806149,0.000806149,0.000806149
51,149.018,0.87284,0.76361,1.05366,0.59716,0.74689,0.75493,0.44391,1.50208,1.35127,1.3771,0.00078595,0.00078595,0.00078595
52,151.603,0.82763,0.74574,1.04368,0.70304,0.82002,0.80692,0.45732,1.62238,1.08711,1.32853,0.000765751,0.000765751,0.000765751
53,154.365,0.86511,0.72615,1.05621,0.62533,0.70569,0.75263,0.44424,1.53365,1.25276,1.30183,0.000745573,0.000745573,0.000745573
54,160.16,0.81336,0.69556,1.01943,0.7315,0.65873,0.74975,0.4701,1.45804,1.11084,1.29218,0.000725434,0.000725434,0.000725434
