epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8089,2.41109,6.47473,2.40277,0.00101,0.22222,0.01421,0.00159,1.998,4.52729,1.88497,0.00010003,0.00010003,0.00010003
2,62.384,2.07789,5.93202,2.06883,0.0047,0.36508,0.00744,0.0039,2.19355,4.15922,1.91135,0.000212228,0.000212228,0.000212228
3,88.2064,1.69796,5.10087,1.75996,0.01515,0.51984,0.06255,0.01977,1.75911,4.32485,1.77151,0.000322162,0.000322162,0.000322162
4,116.8,1.62833,4.31226,1.66221,0.00753,0.52381,0.06702,0.0248,2.16728,4.57737,1.78025,0.000429833,0.000429833,0.000429833
5,141.677,1.61332,4.13675,1.66663,0.00733,0.63889,0.06605,0.02928,1.92015,4.26484,1.62832,0.000535241,0.000535241,0.000535241
6,168.539,1.526,3.72308,1.58819,0.00335,0.44841,0.03182,0.00728,1.87926,4.36892,1.80236,0.000638384,0.000638384,0.000638384
7,192.847,1.44626,3.21121,1.48937,0.10819,0.51984,0.16498,0.07631,1.65542,3.57884,1.69072,0.000739265,0.000739265,0.000739265
8,220.328,1.41676,2.93792,1.48241,0.00317,0.61508,0.03385,0.01198,2.09572,4.29348,2.18437,0.000837881,0.000837881,0.000837881
9,244.834,1.42718,2.92346,1.4913,0.16367,0.15273,0.08136,0.02024,2.33323,4.0314,2.13412,0.000934234,0.000934234,0.000934234
10,271.67,1.32071,2.67982,1.40049,0.41591,0.25585,0.25307,0.07431,1.95833,3.56649,2.00738,0.00102832,0.00102832,0.00102832
11,298.881,1.3626,2.59167,1.43987,0.47951,0.15193,0.13941,0.03686,2.13048,3.63422,2.15675,0.00112015,0.00112015,0.00112015
12,322.705,1.33092,2.57115,1.40435,0.87608,0.09524,0.11373,0.06536,1.92132,3.76921,1.88509,0.00120971,0.00120971,0.00120971
13,348.486,1.35684,2.47525,1.44318,0.40829,0.07937,0.0676,0.0289,1.98407,3.75165,1.89259,0.00125923,0.00125923,0.00125923
14,375.154,1.27874,2.20126,1.3687,0.55243,0.177,0.21306,0.10107,1.78683,3.85445,1.74909,0.00124509,0.00124509,0.00124509
15,402.367,1.29564,2.25359,1.40498,0.30532,0.17551,0.19226,0.0859,1.84205,3.34416,1.8683,0.00123094,0.00123094,0.00123094
16,425.448,1.34987,2.23304,1.39288,0.26414,0.28571,0.22749,0.11604,1.7999,3.11413,1.93889,0.00121679,0.00121679,0.00121679
17,450.731,1.22731,1.96188,1.33824,0.35342,0.25683,0.25576,0.1628,2.02759,3.8091,1.98964,0.00120265,0.00120265,0.00120265
18,476.307,1.23668,1.83606,1.33046,0.14872,0.18875,0.06914,0.03775,1.75503,4.58889,1.94797,0.0011885,0.0011885,0.0011885
19,501.189,1.23186,1.74649,1.31581,0.36444,0.53968,0.47626,0.17234,1.88071,2.84103,1.81837,0.00117435,0.00117435,0.00117435
20,525.481,1.26944,1.83071,1.38371,0.31353,0.4127,0.40478,0.17993,2.29123,2.53302,2.29246,0.00116021,0.00116021,0.00116021
21,551.318,1.17469,1.66865,1.30967,0.78097,0.43186,0.49324,0.225,1.62343,2.41221,1.6338,0.00114606,0.00114606,0.00114606
22,576.604,1.19671,1.53463,1.32616,0.68511,0.39976,0.37421,0.24254,1.41651,2.64036,1.36493,0.00113191,0.00113191,0.00113191
23,599.864,1.21359,1.58459,1.31588,0.01761,0.03175,0.00417,0.00105,3.00504,4.65528,3.65305,0.00111776,0.00111776,0.00111776
24,625.46,1.12516,1.38946,1.24873,0.31123,0.44444,0.4708,0.21517,1.76832,1.92184,1.75428,0.00110362,0.00110362,0.00110362
25,651.559,1.12792,1.36866,1.27548,0.3946,0.40065,0.44717,0.26335,1.40637,2.00386,1.50358,0.00108947,0.00108947,0.00108947
26,676.417,1.12687,1.30826,1.23005,0.31122,0.54762,0.42328,0.24712,1.49249,2.19788,1.5533,0.00107532,0.00107532,0.00107532
27,700.556,1.03726,1.24306,1.22806,0.59011,0.58905,0.65209,0.32441,1.58692,1.75621,1.56095,0.00106118,0.00106118,0.00106118
28,726.224,1.10421,1.28407,1.24998,0.5301,0.68651,0.66966,0.35808,1.52125,1.68046,1.50619,0.00104703,0.00104703,0.00104703
29,751.643,1.09069,1.25022,1.23862,0.45516,0.4246,0.40342,0.25661,1.4857,1.81992,1.52748,0.00103288,0.00103288,0.00103288
30,777.374,1.05577,1.19568,1.21196,0.61623,0.34738,0.34585,0.16962,1.88156,2.53725,1.73902,0.00101873,0.00101873,0.00101873
31,800.895,1.07311,1.17986,1.22577,0.60525,0.74382,0.71059,0.35833,1.61612,1.14291,1.57671,0.00100459,0.00100459,0.00100459
32,826.889,0.99955,1.07239,1.16141,0.62004,0.53968,0.60794,0.32562,1.65135,1.24004,1.63668,0.00099044,0.00099044,0.00099044
33,852.387,1.05576,1.11857,1.19901,0.75952,0.45238,0.48981,0.29916,1.61983,1.81301,1.69737,0.000976293,0.000976293,0.000976293
34,877.789,0.97966,1.03971,1.18375,0.5625,0.44048,0.44869,0.27842,1.61201,1.87166,1.44963,0.000962146,0.000962146,0.000962146
35,901.673,0.93491,0.99591,1.14899,0.58914,0.59921,0.58005,0.30682,1.73748,1.71001,1.61714,0.000947999,0.000947999,0.000947999
36,927.17,0.9799,1.01999,1.15259,0.55707,0.77358,0.58047,0.30506,1.75842,1.51667,1.79849,0.000933851,0.000933851,0.000933851
37,952.639,0.9351,0.96326,1.147,0.4113,0.77381,0.57174,0.33827,1.5286,1.32942,1.55736,0.000919704,0.000919704,0.000919704
38,976.321,0.92852,0.92815,1.16668,0.52004,0.44444,0.48062,0.27239,1.66967,1.96515,1.60849,0.000905557,0.000905557,0.000905557
39,1001.92,0.93653,0.95617,1.1643,0.47345,0.69444,0.54349,0.32852,1.57077,1.4502,1.55852,0.00089141,0.00089141,0.00089141
40,1027.35,0.90564,0.92268,1.13922,0.42118,0.72705,0.62432,0.36328,1.49572,1.22584,1.4979,0.000877263,0.000877263,0.000877263
41,1053.26,0.85107,0.84523,1.09115,0.53658,0.5873,0.55402,0.32411,1.63776,1.70949,1.45453,0.000863116,0.000863116,0.000863116
42,1076.7,0.85338,0.83898,1.11261,0.43841,0.53678,0.48674,0.28545,1.62233,1.64852,1.70166,0.000848969,0.000848969,0.000848969
43,1102.51,0.90192,0.88526,1.12658,0.74071,0.59065,0.72608,0.37602,1.74744,1.32771,1.6231,0.000834822,0.000834822,0.000834822
44,1127.74,0.88257,0.88057,1.1376,0.75207,0.50794,0.45663,0.29073,1.86664,1.66155,1.75266,0.000820675,0.000820675,0.000820675
45,1153.25,0.81735,0.83463,1.09656,0.32063,0.47619,0.45464,0.28644,1.70394,2.0743,1.6329,0.000806528,0.000806528,0.000806528
46,1176.91,0.85616,0.80936,1.10339,0.52664,0.76024,0.7259,0.43869,1.57694,1.1913,1.49584,0.00079238,0.00079238,0.00079238
47,1202.61,0.82282,0.80064,1.08708,0.71506,0.79505,0.75672,0.44222,1.67777,1.01293,1.6092,0.000778233,0.000778233,0.000778233
48,1227.96,0.84888,0.8022,1.10294,0.79118,0.84524,0.87276,0.46087,1.70066,0.96201,1.58776,0.000764086,0.000764086,0.000764086
49,1255.7,0.78458,0.75168,1.05415,0.80358,0.89534,0.84463,0.49033,1.57558,0.862,1.45966,0.000749939,0.000749939,0.000749939
50,1280.34,0.77745,0.72901,1.06251,0.78943,0.87366,0.83507,0.38492,1.88557,1.11116,1.69828,0.000735792,0.000735792,0.000735792
51,1305.94,0.77955,0.77043,1.06393,0.733,0.75,0.79747,0.3802,1.81208,1.24933,1.66079,0.000721645,0.000721645,0.000721645
52,1331.47,0.79954,0.7334,1.06124,0.7686,0.69841,0.85275,0.4774,1.51917,0.89163,1.45208,0.000707498,0.000707498,0.000707498
