epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8389,2.29877,5.85897,2.30961,0.00138,0.38889,0.02282,0.01141,1.8373,4.11629,1.71833,2.858e-05,2.858e-05,2.858e-05
2,34.8729,2.29813,5.69287,2.23965,0.00194,0.47222,0.04335,0.01766,1.91269,4.03527,1.6389,6.43764e-05,6.43764e-05,6.43764e-05
3,36.0625,2.62158,6.21365,2.43095,0.00154,0.38889,0.0038,0.00164,1.93044,4.10536,1.70203,9.16846e-05,9.16846e-05,9.16846e-05
4,37.3325,1.8662,5.29154,1.84823,0.00167,0.38889,0.00992,0.00136,2.22939,4.14539,1.80796,0.000110505,0.000110505,0.000110505
5,38.7415,2.00305,5.68328,1.93272,0.00223,0.61111,0.03535,0.01271,2.25459,4.16374,1.79456,0.000120836,0.000120836,0.000120836
6,40.0228,2.37227,5.82007,2.34794,0.00169,0.52778,0.04167,0.01794,2.49253,4.10704,1.95571,0.00012268,0.00012268,0.00012268
7,41.3803,2.2997,6.11731,2.22697,0.00211,0.63889,0.03836,0.01316,2.4581,4.08445,1.93011,0.000116035,0.000116035,0.000116035
8,42.6508,1.96061,5.1806,1.88918,0.00218,0.63889,0.03463,0.01112,2.24299,4.06326,1.71198,0.000100902,0.000100902,0.000100902
9,44.0334,1.75731,4.98428,1.71113,0.00382,0.72222,0.04394,0.01152,2.04253,3.92888,1.56003,7.72803e-05,7.72803e-05,7.72803e-05
10,45.2674,1.80106,5.08525,1.71938,0.00382,0.72222,0.04253,0.01434,1.96608,3.88168,1.46376,4.51707e-05,4.51707e-05,4.51707e-05
