epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,128.299,0.93829,0.86199,1.11155,0.71589,0.6439,0.66975,0.34753,1.74317,1.31597,1.51147,0.000918991,0.000918991,0.000918991
43,130.981,1.00099,0.89539,1.1512,0.59211,0.8035,0.77923,0.39504,1.69668,1.51858,1.53834,0.000897557,0.000897557,0.000897557
44,133.715,0.98213,0.84917,1.14649,0.8084,0.57143,0.65061,0.37635,1.62838,1.62412,1.43428,0.00087595,0.00087595,0.00087595
45,136.502,0.94625,0.83461,1.12736,0.73433,0.5873,0.51415,0.29017,1.86836,1.7295,1.55554,0.00085419,0.00085419,0.00085419
46,141.691,0.93758,0.81538,1.09869,0.78506,0.63492,0.6609,0.36629,1.69065,1.42449,1.46619,0.0008323,0.0008323,0.0008323
47,144.749,0.86212,0.78259,1.06253,0.51589,0.65476,0.61494,0.32435,1.76025,1.4798,1.41504,0.0008103,0.0008103,0.0008103
48,147.785,0.93418,0.81924,1.1006,0.44873,0.53246,0.55953,0.27901,1.84514,1.37677,1.46557,0.000788213,0.000788213,0.000788213
49,150.576,0.90774,0.7829,1.08803,0.84867,0.60437,0.69442,0.35305,1.70863,1.36473,1.48678,0.00076606,0.00076606,0.00076606
50,153.333,0.88143,0.77981,1.0903,0.56093,0.74778,0.71512,0.40588,1.59004,1.12617,1.46984,0.000743864,0.000743864,0.000743864
51,155.992,0.88542,0.7824,1.07016,0.48504,0.62664,0.66887,0.39215,1.5817,1.19575,1.42311,0.000721645,0.000721645,0.000721645
52,158.52,0.85475,0.73021,1.04891,0.59198,0.72222,0.67583,0.41736,1.5029,1.19231,1.36211,0.000699426,0.000699426,0.000699426
53,161.074,0.84679,0.72841,1.06004,0.54797,0.78175,0.69178,0.36458,1.67958,1.27823,1.46284,0.00067723,0.00067723,0.00067723
54,163.794,0.78062,0.67694,1.01768,0.67044,0.73875,0.73973,0.39622,1.66981,1.10968,1.48452,0.000655077,0.000655077,0.000655077
55,166.523,0.80197,0.67298,1.04505,0.74955,0.69135,0.73643,0.37957,1.68624,1.25982,1.47785,0.00063299,0.00063299,0.00063299
56,169.143,0.79703,0.66597,1.03243,0.71214,0.69718,0.76066,0.37578,1.76184,1.46964,1.49646,0.00061099,0.00061099,0.00061099
57,171.814,0.76779,0.641,1.02815,0.67224,0.70068,0.74289,0.40934,1.64443,1.30293,1.42908,0.0005891,0.0005891,0.0005891
58,176.807,0.82239,0.68707,1.06761,0.71174,0.73964,0.84089,0.43592,1.73341,1.1971,1.45152,0.00056734,0.00056734,0.00056734
59,179.792,0.7585,0.64935,1.01079,0.78076,0.65918,0.79436,0.40218,1.75563,1.06702,1.44248,0.000545733,0.000545733,0.000545733
60,182.65,0.81889,0.68396,1.05003,0.61639,0.64538,0.69192,0.37826,1.80172,1.18074,1.48636,0.000524299,0.000524299,0.000524299
61,185.215,0.78331,0.67788,1.02184,0.70135,0.68651,0.75333,0.39225,1.73616,1.05677,1.48696,0.00050306,0.00050306,0.00050306
62,187.738,0.79479,0.64665,1.02692,0.8618,0.77381,0.82231,0.4348,1.64978,0.97593,1.45125,0.000482037,0.000482037,0.000482037
63,190.438,0.75592,0.64541,1.0238,0.83637,0.78127,0.85559,0.43827,1.68777,0.9305,1.54416,0.00046125,0.00046125,0.00046125
64,192.984,0.73808,0.6461,1.01372,0.8341,0.84827,0.87811,0.4551,1.75313,0.9711,1.50428,0.00044072,0.00044072,0.00044072
65,195.79,0.74629,0.65008,1.02937,0.77258,0.86111,0.87137,0.46411,1.62658,0.95262,1.49493,0.000420468,0.000420468,0.000420468
66,198.381,0.78711,0.667,1.01797,0.70328,0.6569,0.7292,0.38265,1.75407,1.2018,1.56824,0.000400513,0.000400513,0.000400513
67,201.158,0.76402,0.65514,1.01888,0.68672,0.70458,0.80277,0.42598,1.70554,1.18745,1.5442,0.000380874,0.000380874,0.000380874
68,203.86,0.73877,0.62247,1.02204,0.66331,0.76239,0.81497,0.43291,1.60117,1.0816,1.50591,0.000361572,0.000361572,0.000361572
69,206.758,0.71878,0.5876,1.02107,0.71812,0.84382,0.84667,0.44832,1.59423,0.90271,1.45392,0.000342625,0.000342625,0.000342625
70,212.087,0.69395,0.58253,0.97337,0.79945,0.85372,0.88015,0.44335,1.67106,0.93256,1.50517,0.000324053,0.000324053,0.000324053
71,214.978,0.68201,0.54837,0.96416,0.74947,0.85317,0.87365,0.38787,1.86859,1.01763,1.65877,0.000305872,0.000305872,0.000305872
72,217.776,0.67186,0.55547,0.96322,0.63709,0.74827,0.75217,0.31682,1.98794,1.11345,1.78362,0.000288102,0.000288102,0.000288102
73,220.392,0.68355,0.57454,0.98599,0.61272,0.78968,0.77912,0.35413,1.94,1.05337,1.77845,0.00027076,0.00027076,0.00027076
74,223.045,0.64618,0.54631,0.95544,0.79908,0.65856,0.79433,0.35878,1.97785,1.0473,1.7486,0.000253863,0.000253863,0.000253863
75,225.737,0.65011,0.55709,0.96977,0.65145,0.76034,0.7768,0.38101,1.94892,1.05823,1.65021,0.000237427,0.000237427,0.000237427
76,228.306,0.63129,0.5395,0.96088,0.63983,0.57503,0.66784,0.36006,1.81985,1.12859,1.64708,0.000221469,0.000221469,0.000221469
77,231.047,0.67776,0.55449,0.97577,0.60145,0.75073,0.72153,0.37287,1.83234,1.09045,1.58848,0.000206005,0.000206005,0.000206005
78,233.656,0.66199,0.56627,0.99016,0.80478,0.64998,0.80498,0.39128,1.97785,1.03825,1.6908,0.00019105,0.00019105,0.00019105
79,236.48,0.61586,0.52122,0.95425,0.86353,0.72588,0.81226,0.36509,1.98244,1.08183,1.67514,0.000176619,0.000176619,0.000176619
80,239.114,0.64843,0.54133,0.97526,0.90107,0.65931,0.81824,0.38166,1.90637,1.09928,1.65703,0.000162725,0.000162725,0.000162725
81,241.881,0.61511,0.53056,0.95147,0.88689,0.65079,0.81671,0.40903,1.82494,1.08998,1.63002,0.000149383,0.000149383,0.000149383
82,247.292,0.59603,0.5122,0.93706,0.72072,0.75258,0.81119,0.38867,1.88164,1.04023,1.67435,0.000136605,0.000136605,0.000136605
83,250.033,0.58001,0.49445,0.94175,0.72027,0.79994,0.81879,0.37726,1.94275,1.0063,1.71565,0.000124405,0.000124405,0.000124405
84,252.732,0.65504,0.57487,0.97341,0.75061,0.7666,0.83284,0.397,1.92597,0.97304,1.70669,0.000112795,0.000112795,0.000112795
85,255.604,0.57383,0.49993,0.94117,0.80604,0.72824,0.84142,0.39588,1.94381,0.9805,1.70974,0.000101785,0.000101785,0.000101785
86,258.359,0.60313,0.49671,0.95414,0.78795,0.71429,0.82974,0.39483,1.93143,0.96431,1.68558,9.13871e-05,9.13871e-05,9.13871e-05
87,260.956,0.58213,0.5052,0.93576,0.79924,0.74096,0.83055,0.39303,1.93397,0.97005,1.67358,8.16111e-05,8.16111e-05,8.16111e-05
88,263.804,0.58288,0.51826,0.94161,0.6639,0.72456,0.78427,0.39152,1.93448,1.00622,1.66487,7.24667e-05,7.24667e-05,7.24667e-05
89,266.33,0.5982,0.49424,0.94686,0.79906,0.62792,0.79507,0.38207,1.93182,1.04065,1.67019,6.3963e-05,6.3963e-05,6.3963e-05
