epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.579,2.45466,5.02162,2.26801,0.00088,0.2381,0.00171,0.00085,2.03785,4.25456,1.8737,0.00010003,0.00010003,0.00010003
2,6.58488,2.20414,4.74893,2.09716,0.00066,0.21032,0.00122,0.00032,2.30267,4.03336,1.9092,0.000212228,0.000212228,0.000212228
3,9.50645,1.84652,4.05183,1.7107,0.0022,0.55556,0.02062,0.00627,2.10423,3.93742,1.69793,0.000322162,0.000322162,0.000322162
4,13.5959,1.72173,3.42062,1.60893,0.00243,0.41667,0.15621,0.08945,1.96676,3.88516,1.4808,0.000429833,0.000429833,0.000429833
5,16.5826,1.70146,3.20144,1.6151,0.00489,0.52778,0.06807,0.02036,1.98522,3.775,1.61513,0.000535241,0.000535241,0.000535241
6,19.7333,1.62887,2.90805,1.57986,0.0048,0.53571,0.22743,0.0653,1.94282,3.64103,1.68374,0.000638384,0.000638384,0.000638384
7,22.6461,1.60419,2.6255,1.50856,0.00248,0.67857,0.12101,0.03244,2.21707,3.62442,1.64281,0.000739265,0.000739265,0.000739265
8,25.5078,1.59661,2.5107,1.53235,0.00251,0.75397,0.0878,0.02425,2.01246,3.75992,1.79134,0.000837881,0.000837881,0.000837881
9,28.2764,1.46363,2.22149,1.47079,0.1063,0.13492,0.08682,0.04513,1.70922,3.66174,1.52216,0.000934234,0.000934234,0.000934234
10,31.2346,1.45944,2.15795,1.42691,0.80744,0.07937,0.2717,0.14902,2.13354,3.40808,1.81109,0.00102832,0.00102832,0.00102832
11,34.2155,1.4224,2.06739,1.39981,0.07381,0.04762,0.0271,0.01047,2.28837,4.55564,2.35746,0.00112015,0.00112015,0.00112015
12,36.9107,1.43047,2.00612,1.36442,0.0012,0.36508,0.00722,0.00083,2.80244,4.51007,3.11659,0.00120971,0.00120971,0.00120971
13,39.7698,1.38381,1.9913,1.35002,0.00196,0.55159,0.00197,0.00063,2.5511,4.32872,2.71291,0.00125923,0.00125923,0.00125923
14,42.5219,1.38405,1.84096,1.36779,0.04041,0.06746,0.05833,0.01936,2.34901,3.77822,2.47084,0.00124509,0.00124509,0.00124509
15,46.5977,1.31295,1.80368,1.33359,0.03311,0.0119,0.01785,0.004,2.09487,4.85852,2.30489,0.00123094,0.00123094,0.00123094
16,49.6085,1.37863,1.80459,1.36407,0.03625,0.09127,0.04176,0.0145,2.35895,5.12009,2.53181,0.00121679,0.00121679,0.00121679
17,52.5849,1.36436,1.75937,1.34627,0.14639,0.27499,0.11922,0.04505,1.81149,2.90247,1.52725,0.00120265,0.00120265,0.00120265
18,55.4121,1.36012,1.61606,1.32803,0.75463,0.03571,0.01763,0.01065,2.49318,4.82799,2.36515,0.0011885,0.0011885,0.0011885
19,58.0941,1.29952,1.54313,1.28328,0.10112,0.11111,0.05166,0.02501,2.05449,3.37257,1.79804,0.00117435,0.00117435,0.00117435
20,60.7679,1.29063,1.52518,1.31214,0.39415,0.26984,0.05724,0.01469,2.3729,3.99049,2.11079,0.00116021,0.00116021,0.00116021
21,63.3416,1.26404,1.46351,1.31322,0.40741,0.03175,0.02766,0.01239,2.49458,4.61584,2.42353,0.00114606,0.00114606,0.00114606
22,66.0505,1.22115,1.38875,1.26031,0.23542,0.40056,0.27708,0.13366,1.99499,2.23709,1.54276,0.00113191,0.00113191,0.00113191
23,68.6594,1.28743,1.43488,1.2934,0.62846,0.38612,0.3075,0.14353,1.99977,2.22843,1.65475,0.00111776,0.00111776,0.00111776
24,71.3224,1.1808,1.35465,1.23031,0.60601,0.33333,0.51266,0.29184,1.58274,1.72484,1.34033,0.00110362,0.00110362,0.00110362
25,74.2153,1.17886,1.30968,1.24835,0.7473,0.28571,0.29192,0.12056,1.8481,2.49716,1.60734,0.00108947,0.00108947,0.00108947
26,77.0017,1.18643,1.228,1.22407,0.58685,0.61952,0.64035,0.33665,1.61238,1.4604,1.41719,0.00107532,0.00107532,0.00107532
27,81.3915,1.07666,1.14906,1.18958,0.58018,0.61437,0.61052,0.32252,1.69409,1.53929,1.36779,0.00106118,0.00106118,0.00106118
